"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","55001",1,0,0,0
"2","55007",1,0,0,0
"3","55008",1,0,0,0
"4","55014",1,1,0,0
"5","55016",1,0,0,0
"6","55021",3,2,0,0
"7","55024",1,0,0,0
"8","55038",1,0,0,0
"9","55042",1,1,1,0
"10","55044",1,0,0,0
"11","55051",1,0,0,0
"12","55055",1,0,0,0
"13","55057",1,0,0,0
"14","55066",2,0,0,0
"15","55073",1,0,0,0
"16","55075",1,0,0,0
"17","55082",4,1,1,0
"18","55102",2,1,0,0
"19","55103",1,1,0,0
"20","55104",10,7,1,0
"21","55105",10,3,3,0
"22","55106",2,0,0,0
"23","55108",2,1,1,1
"24","55109",4,2,1,0
"25","55110",4,0,0,0
"26","55112",9,1,0,0
"27","55116",9,7,2,0
"28","55118",6,3,2,0
"29","55120",3,1,1,0
"30","55122",2,0,0,0
"31","55123",4,1,1,0
"32","55124",3,0,0,0
"33","55125",1,1,0,0
"34","55126",2,0,0,0
"35","55127",5,2,2,0
"36","55128",1,0,0,0
"37","55129",3,1,0,0
"38","55130",1,1,0,0
"39","55304",1,0,0,0
"40","55305",3,1,0,0
"41","55306",2,1,0,0
"42","55316",2,0,0,0
"43","55328",1,0,0,0
"44","55329",1,0,0,0
"45","55331",4,1,0,0
"46","55337",10,3,2,1
"47","55340",1,1,1,0
"48","55343",2,1,0,0
"49","55344",1,1,0,0
"50","55345",9,2,0,0
"51","55346",3,0,0,0
"52","55347",4,2,1,0
"53","55350",2,0,0,0
"54","55356",1,0,0,0
"55","55364",1,1,1,0
"56","55372",2,0,0,0
"57","55378",2,0,0,0
"58","55387",2,0,0,0
"59","55388",1,0,0,0
"60","55391",1,0,0,0
"61","55401",1,0,0,0
"62","55405",2,0,0,0
"63","55406",2,2,1,0
"64","55407",2,0,0,0
"65","55410",2,2,1,0
"66","55413",2,2,0,0
"67","55414",5,1,0,0
"68","55416",5,1,0,0
"69","55418",1,0,0,0
"70","55419",9,4,3,1
"71","55421",2,0,0,0
"72","55422",3,2,0,0
"73","55423",2,0,0,0
"74","55424",5,1,0,0
"75","55427",2,2,1,0
"76","55428",2,0,0,0
"77","55429",2,1,0,0
"78","55430",1,0,0,0
"79","55431",2,0,0,0
"80","55433",1,0,0,0
"81","55434",1,0,0,0
"82","55436",2,0,0,0
"83","55438",2,1,0,0
"84","55439",1,0,0,0
"85","55441",1,0,0,0
"86","55442",1,0,0,0
"87","55443",1,0,0,0
"88","55445",1,0,0,0
"89","55446",1,0,0,0
"90","55447",5,2,1,1
"91","55449",1,0,0,0
"92","55614",1,0,0,0
"93","55720",1,0,0,0
"94","55744",1,1,0,0
"95","55802",1,0,0,0
"96","55804",3,0,0,0
"97","55805",1,0,0,0
"98","55811",3,0,0,0
"99","55812",1,0,0,0
"100","55901",1,0,0,0
"101","55902",2,0,0,0
"102","55904",1,0,0,0
"103","55906",1,0,0,0
"104","55909",1,0,0,0
"105","55955",1,0,0,0
"106","55963",1,0,0,0
"107","55972",1,0,0,0
"108","55976",1,0,0,0
"109","55987",1,0,0,0
"110","56001",2,0,0,0
"111","56028",1,1,1,1
"112","56082",1,0,0,0
"113","56278",1,0,0,0
"114","56301",4,1,0,0
"115","56303",4,1,1,1
"116","56304",2,0,0,0
"117","56308",1,1,0,0
"118","56310",1,1,1,1
"119","56314",1,1,1,1
"120","56321",1,0,0,0
"121","56358",1,0,0,0
"122","56374",3,2,1,0
"123","56377",1,0,0,0
"124","56379",2,0,0,0
"125","56401",2,0,0,0
"126","56425",1,0,0,0
"127","56501",1,0,0,0
"128","56549",1,0,0,0
"129","56601",1,0,0,0
"130","56647",1,0,0,0
"131","56701",1,0,0,0
